date;rua;numero;bairro;condominio;price;area;price_by_sqm;condominium_fee;iptu;rooms;bathrooms;garage;agent;agent_number;latitude;longitude;property_d;url
25/07/17;JoÌ£o LourenÌ¤o;763;Vila Nova Conceição;Condomínio Maison D'amboise ;1050000;80;13.125;;;2;;2;Souza Nunes Imóveis;(11) 99447-5152 ;-23.589.385;-46.671.467;79111131;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-80m2-venda-RS1050000-id-79111131/
25/07/17;Presidente Juscelino Kubitschek;1545;Vila Nova Conceição;Condomínio Horizonte Home And Office ;1050000;57;18.421;R$802 ;R$186 ;1;1;1;GDX Consultoria Imobiliaria;(11) 5182-2222 ;-23.591.757;-46.683.778;71880434;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-57m2-venda-RS1050000-id-71880434/
25/07/17;Marcos Lopes;300;Vila Nova Conceição;;1059000;68;15.573;;;1;2;2;Sandro de Sousa Brito;(11) 3230-8005 ;-23.597.827;-46.671.474;63852184;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-68m2-venda-RS1059000-id-63852184/
25/07/17;Visconde da Luz;134;Vila Nova Conceição;Condomínio Plaza AtheneÌ© Residence ;1060000;94;11.276;R$2.300 ;R$150 ;2;2;1;IMOVEIS AA;(11) 3937-3900 ;-23.594.066;-46.676.206;80470387;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-94m2-venda-RS1060000-id-80470387/
25/07/17;Visconde da Luz;134;Vila Nova Conceição;Condomínio Plaza AtheneÌ© Residence ;1060000;94;11.276;R$2.300 ;R$150 ;2;2;1;Olímpia House;(11) 3937-3900 ;-23.594.066;-46.676.206;75961155;https://www.vivareal.com.br/imovel/apartamento-2-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-94m2-venda-RS1060000-id-75961155/
25/07/17;Presidente Juscelino Kubitschek;1545;Vila Nova Conceição;Condomínio Horizonte Home And Office ;1060000;54;19.629;R$810 ;;1;2;2;Antonio Lemos;(11) 99177-9190 ;-23.591.813;-46.683.768;78714378;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-54m2-venda-RS1060000-id-78714378/
25/07/17;Presidente Juscelino Kubitschek;1545;Vila Nova Conceição;Condomínio Horizonte Home And Office ;1062000;55;19.309;R$800 ;R$2.200 ;1;2;2;Fabyano Travayn;(11) 97638-9112 ;-23.591.813;-46.683.768;80508922;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-55m2-venda-RS1062000-id-80508922/
25/07/17;Visconde da Luz;134;Vila Nova Conceição;Condomínio Plaza AtheneÌ© Residence ;1065000;90;11.833;R$1.900 ;;1;2;1;GDX Consultoria Imobiliaria;(11) 5182-2222 ;-23.594.066;-46.676.206;68289454;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-90m2-venda-RS1065000-id-68289454/
25/07/17;Diogo JÌÁcome;544;Vila Nova Conceição;;1070000;48;22.291;R$1.200 ;R$120 ;1;1;1;Siga Imóveis;(11) 2738-2378 ;-235.965;-466.673;67649953;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-48m2-venda-RS1070000-id-67649953/
25/07/17;Clodomiro Amazonas;506;Vila Nova Conceição;Condomínio Limited Itaim ;1072000;67;16.000;;;1;1;1;Gregory Alves Silva;(11) 96427-5043 ;-235.888;-46.679;70456923;https://www.vivareal.com.br/imovel/apartamento-1-quartos-vila-nova-conceicao-zona-sul-sao-paulo-com-garagem-67m2-venda-RS1072000-id-70456923/
